% normalize=-1
% resample=no
% samplerate=44100
% version=0.7
% yaafedefinition=MFCC blockSize=512 stepSize=256 > Derivate DOrder=1
-2.65519279e-02,2.55659321e-02,-1.32970096e-01,9.87739322e-02,-1.27939031e-01,-4.61595457e-03,-1.31630082e-02,-2.03315156e-02,9.43214447e-03,-3.33746532e-02,-1.04396836e-02,-1.69784915e-02,3.19013109e-02
-3.40491157e-02,4.54579143e-02,-1.30739176e-01,7.81834868e-02,-1.02224809e-01,3.11787323e-02,-7.86372365e-03,-2.18200793e-02,2.53885731e-02,-2.75106324e-02,-2.29695241e-02,6.53142939e-03,2.30969267e-02
3.21437770e-03,4.95127854e-02,-1.14066784e-01,4.81675392e-02,-3.05679238e-02,4.35023218e-02,-1.27818429e-02,1.37161189e-02,5.59571625e-02,9.16300125e-03,-8.70375589e-03,1.23936777e-02,1.56075869e-02
3.55399173e-02,9.22937549e-02,-2.94524756e-02,4.05952838e-02,5.40693993e-02,4.56967906e-02,-1.96382503e-02,2.78769478e-02,4.51060513e-02,7.34757736e-02,-9.11923976e-03,-1.52599716e-02,-1.94054965e-05
4.19018372e-02,4.91776656e-02,-1.47853487e-02,-3.35941050e-02,1.22202046e-01,7.42788855e-03,1.09794450e-02,8.24683733e-02,5.88990891e-02,9.83419845e-02,-2.20656621e-02,-2.75197760e-02,-6.00724131e-03
8.94790879e-02,5.01561054e-02,6.97831148e-02,-5.17762527e-02,1.47844445e-01,-1.76898293e-02,4.44032356e-02,9.35444414e-02,2.31100151e-02,9.80713722e-02,1.97229095e-02,-4.18604673e-03,-1.05720944e-02
1.01847427e-01,5.93294950e-02,1.60168290e-01,-7.65075362e-02,1.38421592e-01,2.01500615e-02,5.60905124e-02,1.05247381e-01,-1.46269007e-02,5.06361412e-02,1.69166533e-02,-1.10033141e-02,-1.17668179e-02
1.04255627e-01,5.07746235e-02,1.82109501e-01,-4.65213046e-02,1.58205420e-01,-3.18267022e-03,-2.53857438e-03,5.67967654e-02,-7.66144114e-03,3.71371614e-02,4.25818081e-02,-4.59508256e-03,-2.42830997e-02
7.74634233e-02,2.33996510e-03,1.83467838e-01,-3.47088415e-02,1.66509913e-01,9.87594713e-03,1.35884585e-02,4.83854341e-02,-4.31783283e-02,3.41688933e-02,4.91969489e-02,-2.42326513e-02,-4.91083299e-02
1.26590365e-01,1.22946322e-02,1.82249329e-01,2.73131405e-03,1.17381283e-01,1.27469785e-02,3.12228408e-02,8.27017540e-03,-8.26231838e-02,-2.46770305e-02,2.27284672e-02,-5.33043031e-03,1.02481766e-02
9.40224443e-02,3.41331812e-02,1.86452304e-01,1.90431106e-02,6.48610748e-02,2.59586766e-02,3.49074551e-02,-3.20492722e-02,-7.08736981e-02,-5.93521103e-02,-2.28778285e-03,3.10030522e-02,-1.69111993e-04
1.21473917e-01,8.04348203e-02,1.63868582e-01,8.96990415e-03,6.54749112e-02,7.55255288e-02,6.00940366e-02,-1.79139499e-03,-1.60413886e-02,-6.06547957e-02,-2.49316362e-04,4.85361585e-02,-1.11579502e-02
